family	group	method	percent_ref	avg_BS
family_250	group3 len = 50	Supermatrix-ME	0.825666666666667	0.490322916666667
family_251	group3 len = 50	Supermatrix-ME	0.839333333333333	0.49475
family_252	group3 len = 50	Supermatrix-ME	0.725	0.433583333333333
family_253	group3 len = 50	Supermatrix-ME	0.658333333333333	0.57096875
family_254	group3 len = 50	Supermatrix-ME	0.734333333333333	0.6019375
family_255	group3 len = 50	Supermatrix-ME	0.715	0.610791666666667
family_256	group3 len = 50	Supermatrix-ME	0.933666666666667	0.700072916666667
family_257	group3 len = 50	Supermatrix-ME	0.833	0.522979166666667
family_258	group3 len = 50	Supermatrix-ME	0.801666666666667	0.610260416666667
family_259	group3 len = 50	Supermatrix-ME	0.543	0.403270833333333
family_260	group3 len = 50	Supermatrix-ME	0.596	0.5518125
family_261	group3 len = 50	Supermatrix-ME	0.73	0.47315625
family_262	group3 len = 50	Supermatrix-ME	0.577333333333333	0.5285625
family_263	group3 len = 50	Supermatrix-ME	0.714	0.409458333333333
family_264	group3 len = 50	Supermatrix-ME	0.854	0.567416666666667
family_265	group3 len = 50	Supermatrix-ME	0.715666666666667	0.478177083333333
family_266	group3 len = 50	Supermatrix-ME	0.751333333333333	0.561458333333333
family_267	group3 len = 50	Supermatrix-ME	0.809666666666667	0.656166666666667
family_268	group3 len = 50	Supermatrix-ME	0.74	0.5246875
family_269	group3 len = 50	Supermatrix-ME	0.726	0.44721875
family_270	group3 len = 50	Supermatrix-ME	0.882666666666667	0.600677083333333
family_271	group3 len = 50	Supermatrix-ME	0.654333333333333	0.556208333333333
family_272	group3 len = 50	Supermatrix-ME	0.880666666666667	0.623791666666667
family_273	group3 len = 50	Supermatrix-ME	0.516666666666667	0.417197916666667
family_274	group3 len = 50	Supermatrix-ME	0.813666666666667	0.445020833333333
family_275	group3 len = 50	Supermatrix-ME	0.795	0.497614583333333
family_276	group3 len = 50	Supermatrix-ME	0.915	0.667541666666667
family_277	group3 len = 50	Supermatrix-ME	0.843333333333333	0.650041666666667
family_278	group3 len = 50	Supermatrix-ME	0.696666666666667	0.548125
family_279	group3 len = 50	Supermatrix-ME	0.840333333333333	0.495072916666667
family_280	group3 len = 50	Supermatrix-ME	0.692333333333333	0.547604166666667
family_281	group3 len = 50	Supermatrix-ME	0.385666666666667	0.466354166666667
family_282	group3 len = 50	Supermatrix-ME	0.78	0.429583333333333
family_283	group3 len = 50	Supermatrix-ME	0.574	0.192052083333333
family_284	group3 len = 50	Supermatrix-ME	0.814	0.554020833333333
family_285	group3 len = 50	Supermatrix-ME	0.681	0.414572916666667
family_286	group3 len = 50	Supermatrix-ME	0.777333333333333	0.530260416666667
family_287	group3 len = 50	Supermatrix-ME	0.687666666666667	0.500229166666667
family_288	group3 len = 50	Supermatrix-ME	0.850333333333333	0.551229166666667
family_289	group3 len = 50	Supermatrix-ME	0.825333333333333	0.619166666666667
family_290	group3 len = 50	Supermatrix-ME	0.505333333333333	0.396666666666667
family_291	group3 len = 50	Supermatrix-ME	0.699	0.44059375
family_292	group3 len = 50	Supermatrix-ME	0.646	0.531583333333333
family_293	group3 len = 50	Supermatrix-ME	0.862	0.62590625
family_294	group3 len = 50	Supermatrix-ME	0.834	0.621489583333333
family_295	group3 len = 50	Supermatrix-ME	0.505666666666667	0.414177083333333
family_296	group3 len = 50	Supermatrix-ME	0.756333333333333	0.417916666666667
family_297	group3 len = 50	Supermatrix-ME	0.657	0.524479166666667
family_298	group3 len = 50	Supermatrix-ME	0.737666666666667	0.57109375
family_299	group3 len = 50	Supermatrix-ME	0.742333333333333	0.439989583333333
family_300	group3 len = 50	Supermatrix-ME	0.722	0.4819375
family_301	group2 len = 46	Supermatrix-ME	0.827	0.601916666666667
family_302	group2 len = 46	Supermatrix-ME	0.649333333333333	0.56903125
family_303	group2 len = 46	Supermatrix-ME	0.673333333333333	0.452635416666667
family_304	group2 len = 46	Supermatrix-ME	0.738333333333333	0.512239583333333
family_305	group2 len = 46	Supermatrix-ME	0.715333333333333	0.580625
family_306	group2 len = 46	Supermatrix-ME	0.623666666666667	0.4769375
family_307	group2 len = 46	Supermatrix-ME	0.770666666666667	0.480802083333333
family_308	group2 len = 46	Supermatrix-ME	0.866666666666667	0.6005
family_309	group2 len = 46	Supermatrix-ME	0.614333333333333	0.474479166666667
family_310	group2 len = 46	Supermatrix-ME	0.52	0.312729166666667
family_311	group2 len = 46	Supermatrix-ME	0.566666666666667	0.441114583333333
family_312	group2 len = 46	Supermatrix-ME	0.851666666666667	0.543385416666667
family_313	group2 len = 46	Supermatrix-ME	0.859666666666667	0.649354166666667
family_314	group2 len = 46	Supermatrix-ME	0.804333333333333	0.54415625
family_315	group2 len = 46	Supermatrix-ME	0.659	0.329708333333333
family_316	group2 len = 46	Supermatrix-ME	0.842666666666667	0.504989583333333
family_317	group2 len = 46	Supermatrix-ME	0.748	0.571552083333333
family_318	group2 len = 46	Supermatrix-ME	0.221666666666667	0.341520833333333
family_319	group2 len = 46	Supermatrix-ME	0.518	0.485552083333333
family_320	group2 len = 46	Supermatrix-ME	0.629	0.450875
family_321	group2 len = 46	Supermatrix-ME	0.677666666666667	0.41471875
family_322	group2 len = 46	Supermatrix-ME	0.561	0.48146875
family_323	group2 len = 46	Supermatrix-ME	0.722333333333333	0.572760416666667
family_324	group2 len = 46	Supermatrix-ME	0.74	0.530447916666667
family_325	group2 len = 46	Supermatrix-ME	0.79	0.497291666666667
family_326	group2 len = 46	Supermatrix-ME	0.735666666666667	0.487520833333333
family_327	group2 len = 46	Supermatrix-ME	0.734666666666667	0.583270833333333
family_328	group2 len = 46	Supermatrix-ME	0.757666666666667	0.444010416666667
family_329	group2 len = 46	Supermatrix-ME	0.673	0.495729166666667
family_330	group2 len = 46	Supermatrix-ME	0.750333333333333	0.588354166666667
family_331	group2 len = 46	Supermatrix-ME	0.543333333333333	0.450229166666667
family_332	group2 len = 46	Supermatrix-ME	0.635666666666667	0.436479166666667
family_333	group2 len = 46	Supermatrix-ME	0.402666666666667	0.375166666666667
family_334	group2 len = 46	Supermatrix-ME	0.806333333333333	0.41465625
family_335	group2 len = 46	Supermatrix-ME	0.527666666666667	0.505625
family_336	group2 len = 46	Supermatrix-ME	0.612333333333333	0.4503125
family_337	group2 len = 46	Supermatrix-ME	0.698666666666667	0.53859375
family_338	group2 len = 46	Supermatrix-ME	0.725333333333333	0.5331875
family_339	group2 len = 46	Supermatrix-ME	0.74	0.452333333333333
family_340	group2 len = 46	Supermatrix-ME	0.839	0.6155625
family_341	group2 len = 46	Supermatrix-ME	0.683333333333333	0.64878125
family_342	group2 len = 46	Supermatrix-ME	0.674333333333333	0.580625
family_343	group2 len = 46	Supermatrix-ME	0.869	0.586572916666667
family_344	group2 len = 46	Supermatrix-ME	0.742333333333333	0.396927083333333
family_345	group2 len = 46	Supermatrix-ME	0.451	0.437614583333333
family_346	group2 len = 46	Supermatrix-ME	0.51	0.482791666666667
family_347	group2 len = 46	Supermatrix-ME	0.62	0.452729166666667
family_348	group2 len = 46	Supermatrix-ME	0.916333333333333	0.486333333333333
family_349	group2 len = 46	Supermatrix-ME	0.697666666666667	0.474854166666667
family_350	group2 len = 46	Supermatrix-ME	0.57	0.529166666666667
family_351	group2 len = 46	Supermatrix-ME	0.663	0.485020833333333
family_352	group2 len = 46	Supermatrix-ME	0.654	0.485302083333333
family_353	group2 len = 46	Supermatrix-ME	0.691	0.559083333333333
family_354	group2 len = 46	Supermatrix-ME	0.298333333333333	0.387864583333333
family_355	group2 len = 46	Supermatrix-ME	0.664	0.592395833333333
family_356	group2 len = 46	Supermatrix-ME	0.662	0.486458333333333
family_357	group2 len = 46	Supermatrix-ME	0.725	0.567135416666667
family_358	group2 len = 46	Supermatrix-ME	0.617666666666667	0.4795
family_359	group2 len = 46	Supermatrix-ME	0.546333333333333	0.310708333333333
family_360	group2 len = 46	Supermatrix-ME	0.711666666666667	0.604322916666667
family_361	group2 len = 46	Supermatrix-ME	0.884333333333333	0.665416666666667
family_362	group2 len = 46	Supermatrix-ME	0.747333333333333	0.473052083333333
family_363	group2 len = 46	Supermatrix-ME	0.915	0.542354166666667
family_364	group2 len = 46	Supermatrix-ME	0.753666666666667	0.645635416666667
family_365	group2 len = 46	Supermatrix-ME	0.573333333333333	0.407177083333333
family_366	group2 len = 46	Supermatrix-ME	0.879	0.473989583333333
family_367	group2 len = 46	Supermatrix-ME	0.845	0.593697916666667
family_368	group2 len = 46	Supermatrix-ME	0.570333333333333	0.5311875
family_369	group2 len = 46	Supermatrix-ME	0.786333333333333	0.52684375
family_370	group2 len = 46	Supermatrix-ME	0.822666666666667	0.72734375
family_371	group2 len = 46	Supermatrix-ME	0.619333333333333	0.499
family_372	group2 len = 46	Supermatrix-ME	0.659	0.477375
family_373	group2 len = 46	Supermatrix-ME	0.792666666666667	0.465114583333333
family_374	group2 len = 46	Supermatrix-ME	0.689666666666667	0.43778125
family_375	group2 len = 46	Supermatrix-ME	0.78	0.54071875
family_376	group2 len = 46	Supermatrix-ME	0.530666666666667	0.358020833333333
family_377	group2 len = 46	Supermatrix-ME	0.808333333333333	0.634916666666667
family_378	group2 len = 46	Supermatrix-ME	0.752333333333333	0.472666666666667
family_379	group2 len = 46	Supermatrix-ME	0.743666666666667	0.479197916666667
family_380	group2 len = 46	Supermatrix-ME	0.595	0.513447916666667
family_381	group2 len = 46	Supermatrix-ME	0.659333333333333	0.55878125
family_382	group2 len = 46	Supermatrix-ME	0.451666666666667	0.39921875
family_383	group2 len = 46	Supermatrix-ME	0.753	0.409458333333333
family_384	group2 len = 46	Supermatrix-ME	0.592666666666667	0.461510416666667
family_385	group2 len = 46	Supermatrix-ME	0.547333333333333	0.474802083333333
family_386	group2 len = 46	Supermatrix-ME	0.691	0.562135416666667
family_387	group2 len = 46	Supermatrix-ME	0.774333333333333	0.423458333333333
family_388	group2 len = 46	Supermatrix-ME	0.859333333333333	0.588791666666667
family_389	group2 len = 46	Supermatrix-ME	0.923	0.702395833333333
family_390	group2 len = 46	Supermatrix-ME	0.768666666666667	0.456104166666667
family_391	group2 len = 46	Supermatrix-ME	0.673333333333333	0.503864583333333
family_392	group2 len = 46	Supermatrix-ME	0.717	0.55771875
family_393	group2 len = 46	Supermatrix-ME	0.764666666666667	0.498625
family_394	group2 len = 46	Supermatrix-ME	0.674333333333333	0.489645833333333
family_395	group2 len = 46	Supermatrix-ME	0.661	0.399010416666667
family_396	group2 len = 46	Supermatrix-ME	0.674	0.3935625
family_397	group2 len = 46	Supermatrix-ME	0.899333333333333	0.571895833333333
family_398	group2 len = 46	Supermatrix-ME	0.600333333333333	0.46059375
family_399	group2 len = 46	Supermatrix-ME	0.668	0.561729166666667
family_400	group2 len = 46	Supermatrix-ME	0.752333333333333	0.594739583333333
family_401	group1 len = 32	Supermatrix-ME	0.778	0.391645833333333
family_402	group1 len = 32	Supermatrix-ME	0.403666666666667	0.384333333333333
family_403	group1 len = 32	Supermatrix-ME	0.632333333333333	0.379145833333333
family_404	group1 len = 32	Supermatrix-ME	0.494	0.34590625
family_405	group1 len = 32	Supermatrix-ME	0.902	0.569666666666667
family_406	group1 len = 32	Supermatrix-ME	0.429	0.327802083333333
family_407	group1 len = 32	Supermatrix-ME	0.516666666666667	0.348885416666667
family_408	group1 len = 32	Supermatrix-ME	0.776333333333333	0.594739583333333
family_409	group1 len = 32	Supermatrix-ME	0.533333333333333	0.443833333333333
family_410	group1 len = 32	Supermatrix-ME	0.358333333333333	0.225802083333333
family_411	group1 len = 32	Supermatrix-ME	0.765666666666667	0.47140625
family_412	group1 len = 32	Supermatrix-ME	0.554666666666667	0.442739583333333
family_413	group1 len = 32	Supermatrix-ME	0.6	0.432375
family_414	group1 len = 32	Supermatrix-ME	0.590666666666667	0.403697916666667
family_415	group1 len = 32	Supermatrix-ME	0.448333333333333	0.335520833333333
family_416	group1 len = 32	Supermatrix-ME	0.733333333333333	0.41296875
family_417	group1 len = 32	Supermatrix-ME	0.642	0.503822916666667
family_418	group1 len = 32	Supermatrix-ME	0.699666666666667	0.3593125
family_419	group1 len = 32	Supermatrix-ME	0.769666666666667	0.596979166666667
family_420	group1 len = 32	Supermatrix-ME	0.769666666666667	0.522395833333333
family_421	group1 len = 32	Supermatrix-ME	0.651666666666667	0.513583333333333
family_422	group1 len = 32	Supermatrix-ME	0.514333333333333	0.439260416666667
family_423	group1 len = 32	Supermatrix-ME	0.559	0.43134375
family_424	group1 len = 32	Supermatrix-ME	0.592333333333333	0.548114583333333
family_425	group1 len = 32	Supermatrix-ME	0.621666666666667	0.410854166666667
family_426	group1 len = 32	Supermatrix-ME	0.684	0.463854166666667
family_427	group1 len = 32	Supermatrix-ME	0.795	0.63946875
family_428	group1 len = 32	Supermatrix-ME	0.541	0.412635416666667
family_429	group1 len = 32	Supermatrix-ME	0.808	0.49821875
family_430	group1 len = 32	Supermatrix-ME	0.637	0.514927083333333
family_431	group1 len = 32	Supermatrix-ME	0.552666666666667	0.394072916666667
family_432	group1 len = 32	Supermatrix-ME	0.706	0.419802083333333
family_433	group1 len = 32	Supermatrix-ME	0.563	0.4625
family_434	group1 len = 32	Supermatrix-ME	0.660666666666667	0.485416666666667
family_435	group1 len = 32	Supermatrix-ME	0.587	0.453989583333333
family_436	group1 len = 32	Supermatrix-ME	0.680333333333333	0.388947916666667
family_437	group1 len = 32	Supermatrix-ME	0.784333333333333	0.53540625
family_438	group1 len = 32	Supermatrix-ME	0.664	0.359947916666667
family_439	group1 len = 32	Supermatrix-ME	0.528333333333333	0.3465625
family_440	group1 len = 32	Supermatrix-ME	0.606666666666667	0.470739583333333
family_441	group1 len = 32	Supermatrix-ME	0.502	0.412114583333333
family_442	group1 len = 32	Supermatrix-ME	0.562	0.34821875
family_443	group1 len = 32	Supermatrix-ME	0.335333333333333	0.308333333333333
family_444	group1 len = 32	Supermatrix-ME	0.507	0.443447916666667
family_445	group1 len = 32	Supermatrix-ME	0.721666666666667	0.64653125
family_446	group1 len = 32	Supermatrix-ME	0.781666666666667	0.46090625
family_447	group1 len = 32	Supermatrix-ME	0.636	0.51915625
family_448	group1 len = 32	Supermatrix-ME	0.599333333333333	0.477979166666667
family_449	group1 len = 32	Supermatrix-ME	0.737	0.546666666666667
family_450	group1 len = 32	Supermatrix-ME	0.746333333333333	0.474708333333333
family_451	group1 len = 32	Supermatrix-ME	0.492	0.367927083333333
family_452	group1 len = 32	Supermatrix-ME	0.623666666666667	0.471947916666667
family_453	group1 len = 32	Supermatrix-ME	0.329666666666667	0.249416666666667
family_454	group1 len = 32	Supermatrix-ME	0.675333333333333	0.466885416666667
family_455	group1 len = 32	Supermatrix-ME	0.614666666666667	0.4040625
family_456	group1 len = 32	Supermatrix-ME	0.469666666666667	0.375458333333333
family_457	group1 len = 32	Supermatrix-ME	0.67	0.450333333333333
family_458	group1 len = 32	Supermatrix-ME	0.695	0.5308125
family_459	group1 len = 32	Supermatrix-ME	0.826	0.38384375
family_460	group1 len = 32	Supermatrix-ME	0.539	0.478895833333333
family_461	group1 len = 32	Supermatrix-ME	0.543333333333333	0.420958333333333
family_462	group1 len = 32	Supermatrix-ME	0.615666666666667	0.364739583333333
family_463	group1 len = 32	Supermatrix-ME	0.727	0.486291666666667
family_464	group1 len = 32	Supermatrix-ME	0.699666666666667	0.455697916666667
family_465	group1 len = 32	Supermatrix-ME	0.538333333333333	0.32765625
family_466	group1 len = 32	Supermatrix-ME	0.624333333333333	0.535572916666667
family_467	group1 len = 32	Supermatrix-ME	0.782666666666667	0.587083333333333
family_468	group1 len = 32	Supermatrix-ME	0.494	0.294760416666667
family_469	group1 len = 32	Supermatrix-ME	0.792333333333333	0.592010416666667
family_470	group1 len = 32	Supermatrix-ME	0.281666666666667	0.348625
family_471	group1 len = 32	Supermatrix-ME	0.556666666666667	0.392895833333333
family_472	group1 len = 32	Supermatrix-ME	0.721	0.64309375
family_473	group1 len = 32	Supermatrix-ME	0.703	0.522708333333333
family_474	group1 len = 32	Supermatrix-ME	0.644	0.50234375
family_475	group1 len = 32	Supermatrix-ME	0.757333333333333	0.5423125
family_476	group1 len = 32	Supermatrix-ME	0.296666666666667	0.304177083333333
family_477	group1 len = 32	Supermatrix-ME	0.680333333333333	0.484604166666667
family_478	group1 len = 32	Supermatrix-ME	0.821333333333333	0.396927083333333
family_479	group1 len = 32	Supermatrix-ME	0.678333333333333	0.369677083333333
family_480	group1 len = 32	Supermatrix-ME	0.596666666666667	0.507666666666667
family_481	group1 len = 32	Supermatrix-ME	0.611333333333333	0.538416666666667
family_482	group1 len = 32	Supermatrix-ME	0.542666666666667	0.455197916666667
family_483	group1 len = 32	Supermatrix-ME	0.519333333333333	0.381447916666667
family_484	group1 len = 32	Supermatrix-ME	0.624333333333333	0.3375625
family_485	group1 len = 32	Supermatrix-ME	0.590333333333333	0.43428125
family_486	group1 len = 32	Supermatrix-ME	0.799333333333333	0.535979166666667
family_487	group1 len = 32	Supermatrix-ME	0.510333333333333	0.463020833333333
family_488	group1 len = 32	Supermatrix-ME	0.567666666666667	0.531958333333333
family_489	group1 len = 32	Supermatrix-ME	0.936	0.640197916666667
family_490	group1 len = 32	Supermatrix-ME	0.748	0.388197916666667
family_491	group1 len = 32	Supermatrix-ME	0.608333333333333	0.435770833333333
family_492	group1 len = 32	Supermatrix-ME	0.403	0.305979166666667
family_493	group1 len = 32	Supermatrix-ME	0.666	0.454552083333333
family_494	group1 len = 32	Supermatrix-ME	0.879666666666667	0.512614583333333
family_495	group1 len = 32	Supermatrix-ME	0.575666666666667	0.479947916666667
family_496	group1 len = 32	Supermatrix-ME	0.491333333333333	0.369916666666667
family_497	group1 len = 32	Supermatrix-ME	0.888333333333333	0.47509375
family_498	group1 len = 32	Supermatrix-ME	0.509666666666667	0.474041666666667
family_499	group1 len = 32	Supermatrix-ME	0.659666666666667	0.426677083333333
family_500	group1 len = 32	Supermatrix-ME	0.699	0.531833333333333
